PR,PR previous,URL,URL previous,Title,Title previous,Content type,Content type previous,Is rendered page,Is rendered page previous,HTTP status code,HTTP status code previous,Canonical URL,Canonical URL previous,Canonical URL code,Canonical URL code previous,Canonical URL patch,Canonical URL patch status,Is self-canonical,Is self-canonical previous,Is indexable page,Is indexable page previous,Organic traffic,Organic traffic previous,No. of all inlinks,No. of all inlinks previous,First found at,First found at previous
20,31,https://tranvas.com/,https://tranvas.com/,Tranvas | The Unified Life Operating System,Tranvas | The Unified Life Operating System,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,https://tranvas.com/en,,307,,,,false,,false,true,0,0,136,4,,
0,29,https://tranvas.com/resources/stories,https://tranvas.com/resources/stories,Success Stories — User Transformations | Tranvas,Success Stories — User Transformations | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,https://tranvas.com/en/resources/stories,,307,,,,false,,false,true,0,0,3,3,,https://tranvas.com/en/resources/stories
0,29,https://tranvas.com/features/habit,https://tranvas.com/features/habit,Habit Tracker — Build Consistency Every Day,Habit Tracker — Build Consistency Every Day | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,https://tranvas.com/en/features/habit,,307,,,,false,,false,true,0,0,3,3,,https://tranvas.com/en/features/habit
0,29,https://tranvas.com/solutions/mental-clarity,https://tranvas.com/solutions/mental-clarity,Mental Health — Journaling & Mindfulness | Tranvas,Mental Health — Journaling & Mindfulness | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,https://tranvas.com/en/solutions/mental-clarity,,307,,,,false,,false,true,0,0,3,3,,https://tranvas.com/en/solutions/mental-clarity
0,29,https://tranvas.com/features/job,https://tranvas.com/features/job,Job Tracker — Manage Career Growth,Job Tracker — Manage Career Growth | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,https://tranvas.com/en/features/job,,307,,,,false,,false,true,0,0,3,3,,https://tranvas.com/en/features/job
0,29,https://tranvas.com/solutions/freelancer,https://tranvas.com/solutions/freelancer,For Freelancers — Scale Your Workflow | Tranvas,For Freelancers — Scale Your Workflow | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,https://tranvas.com/en/solutions/freelancer,,307,,,,false,,false,true,0,0,3,3,,https://tranvas.com/en/solutions/freelancer
0,29,https://tranvas.com/pricing,https://tranvas.com/pricing,Pricing & Plans — Choose Your Journey | Tranvas,Pricing & Plans — Choose Your Journey | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,https://tranvas.com/en/pricing,,307,,,,false,,false,true,0,0,3,3,,https://tranvas.com/en/pricing
0,29,https://www.tranvas.com/,https://www.tranvas.com/,Tranvas | The Unified Life Operating System,Tranvas | The Unified Life Operating System,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,https://tranvas.com/en,,307,,,,false,,false,true,0,0,3,3,,
0,29,https://tranvas.com/login,https://tranvas.com/login,Log In — Welcome Back | Tranvas,Log In — Welcome Back | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,https://tranvas.com/en/login,,307,,,,false,,false,true,0,0,3,3,,https://tranvas.com/en/login
0,29,https://tranvas.com/resources/community,https://tranvas.com/resources/community,Community — Connect with Users | Tranvas,Community — Connect with Users | Tranvas,text/html; charset=utf-8,text/html; charset=utf-8,false,false,200,200,https://tranvas.com/en/resources/community,,307,,,,false,,false,true,0,0,3,3,,https://tranvas.com/en/resources/community
